Array Length: 4096
Test Repetitions: 3
Sort Order: Ascending

Grid Size: 8
Block Size: 128
Threads: 1024

Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-15 12:37:42,4096,0,0.35824,3.0916,true
2024-10-15 12:37:42,4096,1,0.319488,3.0762,true
2024-10-15 12:37:42,4096,2,0.303296,3.0871,true
