Array Length: 2^17

Threads:,1
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:11:42,131072,0,0,41.0137,true
2024-10-25 09:11:43,131072,1,0,40.1193,true
2024-10-25 09:11:43,131072,2,0,40.6647,true
2024-10-25 09:11:43,131072,3,0,45.388,true
2024-10-25 09:11:43,131072,4,0,45.6802,true
2024-10-25 09:11:43,131072,5,0,38.5886,true
2024-10-25 09:11:43,131072,6,0,37.433,true
2024-10-25 09:11:43,131072,7,0,40.3644,true
2024-10-25 09:11:43,131072,8,0,40.6708,true
2024-10-25 09:11:43,131072,9,0,43.1274,true


Threads:,2
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:11:43,131072,0,0,20.5267,true
2024-10-25 09:11:43,131072,1,0,19.0449,true
2024-10-25 09:11:43,131072,2,0,18.6249,true
2024-10-25 09:11:43,131072,3,0,20.3884,true
2024-10-25 09:11:43,131072,4,0,18.6224,true
2024-10-25 09:11:43,131072,5,0,19.4689,true
2024-10-25 09:11:43,131072,6,0,19.9937,true
2024-10-25 09:11:43,131072,7,0,18.3862,true
2024-10-25 09:11:43,131072,8,0,20.6174,true
2024-10-25 09:11:43,131072,9,0,20.9104,true


Threads:,3
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:11:43,131072,0,0,16.2987,true
2024-10-25 09:11:43,131072,1,0,17.5248,true
2024-10-25 09:11:43,131072,2,0,15.9682,true
2024-10-25 09:11:43,131072,3,0,16.7999,true
2024-10-25 09:11:43,131072,4,0,16.1097,true
2024-10-25 09:11:43,131072,5,0,15.4563,true
2024-10-25 09:11:43,131072,6,0,16.71,true
2024-10-25 09:11:43,131072,7,0,15.768,true
2024-10-25 09:11:43,131072,8,0,18.3972,true
2024-10-25 09:11:43,131072,9,0,16.5122,true


Threads:,4
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:11:43,131072,0,0,14.6862,true
2024-10-25 09:11:43,131072,1,0,16.8337,true
2024-10-25 09:11:43,131072,2,0,15.4987,true
2024-10-25 09:11:43,131072,3,0,14.749,true
2024-10-25 09:11:43,131072,4,0,15.1092,true
2024-10-25 09:11:43,131072,5,0,15.3078,true
2024-10-25 09:11:43,131072,6,0,15.0697,true
2024-10-25 09:11:43,131072,7,0,15.4879,true
2024-10-25 09:11:43,131072,8,0,16.0507,true
2024-10-25 09:11:43,131072,9,0,14.3955,true


Threads:,5
