Array Length: 2^22

Threads:,1
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:44,4194304,9,0,181.417,true


Threads:,11
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:44,4194304,0,0,183.911,true
2024-10-25 09:12:44,4194304,1,0,177.869,true
2024-10-25 09:12:44,4194304,2,0,174.415,true
2024-10-25 09:12:45,4194304,3,0,175.672,true
2024-10-25 09:12:45,4194304,4,0,174.284,true
2024-10-25 09:12:45,4194304,5,0,178.13,true
2024-10-25 09:12:45,4194304,6,0,173.153,true
2024-10-25 09:12:45,4194304,7,0,173.784,true
2024-10-25 09:12:46,4194304,8,0,181.769,true
2024-10-25 09:12:46,4194304,9,0,174.492,true


Threads:,12
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:46,4194304,0,0,171.468,true
2024-10-25 09:12:46,4194304,1,0,171.796,true
2024-10-25 09:12:46,4194304,2,0,167.147,true
2024-10-25 09:12:47,4194304,3,0,171.313,true
2024-10-25 09:12:47,4194304,4,0,167.258,true
2024-10-25 09:12:47,4194304,5,0,168.23,true
2024-10-25 09:12:47,4194304,6,0,169.029,true
2024-10-25 09:12:47,4194304,7,0,167.733,true
2024-10-25 09:12:48,4194304,8,0,175.025,true
2024-10-25 09:12:48,4194304,9,0,165.678,true


Threads:,13
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:48,4194304,0,0,166.695,true
2024-10-25 09:12:48,4194304,1,0,172.34,true
2024-10-25 09:12:48,4194304,2,0,162.064,true
2024-10-25 09:12:48,4194304,3,0,162.909,true
2024-10-25 09:12:49,4194304,4,0,168.635,true
2024-10-25 09:12:49,4194304,5,0,163.051,true
2024-10-25 09:12:49,4194304,6,0,168.755,true
2024-10-25 09:12:49,4194304,7,0,167.424,true
2024-10-25 09:12:49,4194304,8,0,163.368,true
2024-10-25 09:12:50,4194304,9,0,163.606,true


Threads:,14
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:50,4194304,0,0,168.424,true
2024-10-25 09:12:50,4194304,1,0,174.096,true
2024-10-25 09:12:50,4194304,2,0,162.285,true
2024-10-25 09:12:50,4194304,3,0,163.182,true
2024-10-25 09:12:51,4194304,4,0,164.236,true
2024-10-25 09:12:51,4194304,5,0,159.979,true
2024-10-25 09:12:51,4194304,6,0,160.94,true
2024-10-25 09:12:51,4194304,7,0,165.346,true
2024-10-25 09:12:51,4194304,8,0,159.909,true
2024-10-25 09:12:52,4194304,9,0,171.538,true


Threads:,15
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:52,4194304,0,0,165.955,true
2024-10-25 09:12:52,4194304,1,0,166.227,true
2024-10-25 09:12:52,4194304,2,0,167.442,true
2024-10-25 09:12:52,4194304,3,0,166.242,true
2024-10-25 09:12:52,4194304,4,0,164.925,true
2024-10-25 09:12:53,4194304,5,0,161.735,true
2024-10-25 09:12:53,4194304,6,0,166.717,true
2024-10-25 09:12:53,4194304,7,0,168.238,true
2024-10-25 09:12:53,4194304,8,0,160.877,true
2024-10-25 09:12:53,4194304,9,0,164.319,true


Threads:,16
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:54,4194304,0,0,174.321,true
2024-10-25 09:12:54,4194304,1,0,175.116,true
2024-10-25 09:12:54,4194304,2,0,179.233,true
2024-10-25 09:12:54,4194304,3,0,169.929,true
