Array Length: 2^27

Threads:,1
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:14:13,134217728,0,0,40473,true
2024-10-25 09:14:53,134217728,1,0,40178.1,true
2024-10-25 09:15:34,134217728,2,0,40132,true
2024-10-25 09:16:15,134217728,3,0,40255.9,true
2024-10-25 09:16:56,134217728,4,0,40261.2,true
2024-10-25 09:17:37,134217728,5,0,39797.8,true
2024-10-25 09:18:17,134217728,6,0,39992.2,true
2024-10-25 09:18:58,134217728,7,0,40435,true
2024-10-25 09:19:39,134217728,8,0,39489.2,true
2024-10-25 09:20:19,134217728,9,0,39703.8,true


Threads:,2
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:20:41,134217728,0,0,21468.4,true
2024-10-25 09:21:04,134217728,1,0,21584.7,true
2024-10-25 09:21:25,134217728,2,0,21033.3,true
2024-10-25 09:21:47,134217728,3,0,21385.6,true
2024-10-25 09:22:09,134217728,4,0,21150.4,true
2024-10-25 09:22:31,134217728,5,0,21491,true
2024-10-25 09:22:53,134217728,6,0,21294,true
2024-10-25 09:23:16,134217728,7,0,21494.9,true
2024-10-25 09:23:38,134217728,8,0,21543.7,true
2024-10-25 09:23:59,134217728,9,0,20788.3,true


Threads:,3
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:24:15,134217728,0,0,15154,true
2024-10-25 09:24:31,134217728,1,0,15128.8,true
2024-10-25 09:24:47,134217728,2,0,14817.5,true
2024-10-25 09:25:02,134217728,3,0,15079.3,true
2024-10-25 09:25:18,134217728,4,0,15208.1,true
2024-10-25 09:25:34,134217728,5,0,15172.3,true
2024-10-25 09:25:50,134217728,6,0,15196.7,true
2024-10-25 09:26:06,134217728,7,0,15089.1,true
2024-10-25 09:26:22,134217728,8,0,15211.6,true
2024-10-25 09:26:38,134217728,9,0,15167.5,true


Threads:,4
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:26:51,134217728,0,0,12213.6,true
2024-10-25 09:27:04,134217728,1,0,12387.9,true
2024-10-25 09:27:17,134217728,2,0,12417.2,true
2024-10-25 09:27:30,134217728,3,0,12408,true
2024-10-25 09:27:43,134217728,4,0,12408.2,true
2024-10-25 09:27:56,134217728,5,0,12361.2,true
2024-10-25 09:28:09,134217728,6,0,12379.4,true
2024-10-25 09:28:22,134217728,7,0,12210.3,true
2024-10-25 09:28:35,134217728,8,0,12469.9,true
2024-10-25 09:28:48,134217728,9,0,12228.2,true


Threads:,5
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:29:00,134217728,0,0,10764.5,true
2024-10-25 09:29:11,134217728,1,0,10803,true
2024-10-25 09:29:23,134217728,2,0,10788.7,true
2024-10-25 09:29:34,134217728,3,0,10923.4,true
2024-10-25 09:29:46,134217728,4,0,11149.4,true
2024-10-25 09:29:58,134217728,5,0,10573.8,true
2024-10-25 09:30:09,134217728,6,0,10611.7,true
2024-10-25 09:30:20,134217728,7,0,10708.7,true
2024-10-25 09:30:31,134217728,8,0,10583.6,true
2024-10-25 09:30:43,134217728,9,0,10601.3,true


Threads:,6
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:30:54,134217728,0,0,9926.01,true
2024-10-25 09:31:04,134217728,1,0,9953.89,true
2024-10-25 09:31:15,134217728,2,0,9970.26,true
