Array Length: 4194304
Test Repetitions: 10
Sort Order: Ascending

Threads (CPU): 5

Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-24 12:07:14,4194304,0,0,1016.47,true
2024-10-24 12:07:15,4194304,1,0,1036.67,true
2024-10-24 12:07:16,4194304,2,0,1029.35,true
2024-10-24 12:07:17,4194304,3,0,1024.71,true
2024-10-24 12:07:18,4194304,4,0,1033.16,true
2024-10-24 12:07:19,4194304,5,0,1025.65,true
2024-10-24 12:07:21,4194304,6,0,1026.65,true
2024-10-24 12:07:22,4194304,7,0,1020.01,true
2024-10-24 12:07:23,4194304,8,0,1028.01,true
2024-10-24 12:07:24,4194304,9,0,1026.91,true
