Array Length: 131072
Test Repetitions: 10
Sort Order: Ascending

Threads (CPU): 32

Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-24 12:05:32,131072,0,0,119.057,true
2024-10-24 12:05:32,131072,1,0,118.09,true
2024-10-24 12:05:33,131072,2,0,119.77,true
2024-10-24 12:05:33,131072,3,0,119.826,true
2024-10-24 12:05:33,131072,4,0,122.675,true
2024-10-24 12:05:33,131072,5,0,121.472,true
2024-10-24 12:05:33,131072,6,0,119.536,true
2024-10-24 12:05:33,131072,7,0,116.737,true
2024-10-24 12:05:33,131072,8,0,118.419,true
2024-10-24 12:05:33,131072,9,0,118.828,true
